,rooms,bedrooms,population,households,value,inland
0,880,129,322,126,452600,0
1,7099,1106,2401,1138,358500,0
2,1467,190,496,177,352100,1
3,1274,235,558,219,341300,1
4,1627,280,565,259,342200,1
5,1966,347,793,331,152500,1
6,919,213,413,193,269700,1
7,2535,489,1094,514,299200,1
8,3104,687,1157,647,241400,0
9,2555,665,1206,595,226700,0
10,3549,707,1551,714,261100,1
11,2202,434,910,402,281500,0
12,3503,752,1504,734,241800,1
13,2491,474,1098,468,213500,0
14,696,486.3454179,345,174,191300,0
15,2643,626,1212,620,159200,1
16,1120,283,697,264,140000,0
18,1228,293,648,303,155500,1
19,2239,455,990,419,158700,0
20,1503,298,690,275,162900,1
21,751,184,409,166,147500,1
22,1639,367,929,366,159800,1
23,2436,541,1015,478,113900,0
24,1688,337,853,325,99700,1
25,2224,437,1006,422,132600,1
26,535,123,317,119,107500,0
27,1130,244,607,239,93800,0
28,1898,421,1102,397,105500,1
29,2082,492,1131,473,108900,0
30,729,160,395,155,132000,1
31,1916,447,863,378,122300,1
32,2153,481,1168,441,115200,0
33,1922,409,1026,335,110400,0
34,1655,366,754,329,104900,0
35,2665,574,1258,536,109700,1
36,1215,282,570,264,97200,1
37,1798,432,987,374,104500,0
38,1511,390,901,403,103900,1
39,1470,330,689,309,191400,1
40,2432,715,1377,696,176000,1
41,1665,419,946,395,155400,1
42,936,311,517,249,150000,1
43,713,202,462,189,118800,0
44,950,202,467,198,188800,0
45,1443,311,660,292,184400,0
46,1656,420,718,382,182300,1
47,1125,322,1222.281124,304,142500,0
48,1007,312,558,253,137500,1
49,624,195,423,160,187500,0
50,946,375,700,352,112500,0
51,896,453,735,438,171900,1
52,1868,456,1061,407,93800,1
53,3221,853,1959,720,97500,1
54,1630,456,1162,400,104200,0
55,1170,235,701,233,87500,1
56,945,243,576,220,83100,0
57,1238,288,622,259,87500,0
58,1489,335,728,244,85300,0
59,1387,341,1074,304,80300,1
60,158,43,94,57,60000,1
61,1121,211,554,187,75700,1
62,135,29,86,23,75000,1
63,760,190,377,122,86100,1
64,1224,237,521,159,76100,1
65,828,182,392,133,73500,1
66,1010,209,604,187,78400,1
67,1455,354,788,332,84400,0
68,1027,244,492,147,81300,1
69,572,109,274,82,85000,0
70,2801,644,1823,611,129200,0
71,768,152,392,127,82500,0
72,935,297,582,277,95200,1
73,844,204,560,152,75000,1
74,12,4,18,7,67500,1
75,835,161,290,133,137500,1
76,1237,462,762,439,177500,0
77,2914,562,1236,509,102100,0
78,1207,243,721,207,108300,1
79,1745,374,1054,325,112500,1
80,684,176,344,155,131300,0
81,924,289,609,289,162500,1
82,210,56,183,56,112500,1
83,340,486.3454179,1222.281124,87,112500,0
84,386,164,346,155,137500,0
85,948,184,467,169,118800,1
86,773,143,377,115,98200,1
87,880,451,582,380,118800,1
88,875,348,546,330,162500,0
89,105,42,125,39,137500,1
90,249,78,396,85,500001,0
91,994,392,800,362,162500,1
92,215,87,904,88,137500,1
93,96,31,191,34,162500,0
94,1055,347,718,302,187500,1
95,1715,623,1327,467,179200,1
96,5329,2477,3469,2323,130000,1
97,4596,1331,2048,1180,183800,1
98,335,107,202,91,125000,1
99,3682,1270,2024,1250,170000,1
100,3633,1085,1838,980,193100,1
101,4656,1414,2304,1250,257800,1
102,5806,1603,2563,1497,273400,1
103,854,242,389,228,237500,1
104,2155,701,895,613,350000,1
105,5871,1914,2689,1789,335700,1
106,1509,225,674,244,313400,1
107,2026,482,709,456,268500,0
108,1758,460,686,422,259400,1
109,3481,751,1444,718,275700,0
110,3337,855,1520,802,225000,1
111,1424,289,550,253,262500,1
112,3809,1098,1806,1022,218500,1
113,3959,1196,1749,1217,255000,0
114,2376,559,939,519,224100,0
115,1613,428,675,422,243100,0
116,1279,287,534,291,231600,0
117,5022,1750,2558,1661,218500,0
118,4190,1105,1786,1037,234100,0
119,2515,399,970,373,327600,1
120,3175,454,1098,485,347600,0
121,2576,406,794,376,366100,1
122,334,54,98,47,335000,0
123,2800,411,1061,403,373600,1
124,3529,574,1177,555,389500,0
125,2612,365,901,367,391100,0
126,5287,1048,2031,956,337300,1
127,2935,473,1031,479,295200,0
128,3424,597,1358,597,292300,1
129,4991,674,1616,654,411500,1
130,2211,346,844,343,311500,0
131,3038,490,1140,496,325900,1
132,1617,210,533,194,392600,1
133,2865,460,1072,443,319300,0
134,5065,788,1627,766,333300,1
135,1326,486.3454179,463,190,335200,1
136,1589,223,542,211,351200,0
137,1791,271,661,269,368900,1
138,1835,264,635,263,365900,1
139,1229,181,420,176,366700,1
140,3770,534,1265,500,362800,1
141,292,38,126,52,483300,0
142,2375,333,813,350,331400,1
143,2964,436,1067,426,323500,1
144,2833,605,1260,552,216700,1
145,2254,535,951,487,233100,1
146,1389,212,510,224,296400,1
147,1971,335,765,308,273700,1
148,2183,465,1129,460,227700,1
149,2286,464,1073,441,199600,1
150,2721,541,1185,515,239800,1
151,2024,339,756,340,270100,1
152,2944,536,1034,521,302100,0
153,2033,486,787,459,269500,1
